Pokemon,Method,Location,Location Index,Time,Before Gym,Notes,AyTales Testing,Common,Uncommon,Rare,Woke AF,First Encounter,Permanent Encounter,Unique Encounter,Type 1,Type 2,Evo Types,First Stage,Evolutions,Final Evolution
Bulbasaur,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Grass,Poison,,Y,2,
Charmander,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Fire,,Fire Flying Fire Dragon,Y,2,
Chespin,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Grass,,Grass Fighting,Y,2,
Chikorita,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Grass,,,Y,2,
Chimchar,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Fire,,Fire Fighting,Y,2,
Cyndaquil,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Fire,,,Y,2,
Fennekin,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Fire,,Fire Psychic,Y,2,
Froakie,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Water,,Water Dark,Y,2,
Litten,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Fire,,Fire Dark,Y,2,
Mudkip,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Water,,Water Ground,Y,2,
Oshawott,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Water,,,Y,2,
Piplup,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Water,,Water Steel,Y,2,
Popplio,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Water,,Water Fairy,Y,2,
Rowlet,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Grass,Flying,Grass Ghost,Y,2,
Snivy,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Grass,,,Y,2,
Squirtle,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Water,,,Y,2,
Tepig,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Fire,,Fire Fighting,Y,2,
Torchic,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Fire,,Fire Fighting,Y,2,
Totodile,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Water,,,Y,2,
Treecko,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Grass,,Grass Dragon,Y,2,
Turtwig,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,A,O,,,,,Y,N,Y,Grass,,Grass Ground,Y,2,
Eevee,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,eeveepls password,X,,,,Yes,Y,N,Y,Normal,,Water Electric Fire Psychic Dark Grass Ice Fairy,Y,1,
Alolan Vulpix,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,vulpixpls password,,,,,Yes,Y,N,Y,Ice,,,Y,1,
Vulpix,Event,Grand Hall,00001 Grand Hall,Any,001 - Julia,vulpixpls password,,,,,,Y,N,Y,Fire,,,Y,1,
Pachirisu,Event,Opal Ward,00003 Opal Ward,Any,001 - Julia,50% Chance,O,,,,,Y,N,Y,Electric,,,Y,-,Y
Zigzagoon,Event,Opal Ward,00003 Opal Ward,Any,001 - Julia,50% Chance,X,,,,,Y,N,Y,Normal,,,Y,1,
Panpour,Event,Opal Ward,00003 Opal Ward,Any,001 - Julia,"50%, Raining, Beneath bridge",O,,,,,Y,N,Y,Water,,,Y,1,
Pansear,Event,Opal Ward,00003 Opal Ward,Any,001 - Julia,"50%, Raining, Beneath bridge",X,,,,,Y,N,Y,Fire,,,Y,1,
Combee,Headbutt,Opal Ward,00003 Opal Ward,Any,001 - Julia,,X,Honey,,,,Y,N,Y,Bug,Flying,,Y,1,
Pineco,Headbutt,Opal Ward,00003 Opal Ward,Any,001 - Julia,,X,,,,,Y,N,Y,Bug,,Bug Steel,Y,1,
Spearow,Headbutt,Opal Ward,00003 Opal Ward,Any,001 - Julia,,X,Sharp Beak,,,,Y,N,Y,Normal,Flying,,Y,1,
Ekans,Land,Opal Ward,00003 Opal Ward,Any,001 - Julia,,X,,,,,Y,N,Y,Poison,,,Y,1,
Meowth,Land,Opal Ward,00003 Opal Ward,Any,001 - Julia,,X,Quick Claw,,,,Y,N,Y,Normal,,,Y,1,
Rattata,Land,Opal Ward,00003 Opal Ward,Any,001 - Julia,,X,,,,,Y,N,Y,Normal,,,Y,1,
Bidoof,Land,Opal Ward,00003 Opal Ward,"Morning, Day",001 - Julia,,X,,,,,Y,N,Y,Normal,,Normal Water,Y,1,
Patrat,Land,Opal Ward,00003 Opal Ward,"Morning, Day",001 - Julia,,X,,,,,Y,N,Y,Normal,,,Y,1,
Pidgey,Land,Opal Ward,00003 Opal Ward,"Morning, Day",001 - Julia,,X,,,,,Y,N,Y,Normal,Flying,,Y,2,
Hoothoot,Land,Opal Ward,00003 Opal Ward,Night,001 - Julia,,X,,,,,Y,N,Y,Normal,Flying,,Y,1,
Spinarak,Land,Opal Ward,00003 Opal Ward,Night,001 - Julia,,X,,,,,Y,N,Y,Bug,Poison,,Y,1,
Espurr,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,"25%, Pokesnax",O,,,,,Y,N,Y,Psychic,,,Y,1,
Minccino,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,"25%, Pokesnax",X,,,,,Y,N,Y,Normal,,,Y,1,
Teddiursa,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,Day,X,,,,,Y,N,Y,Normal,,,Y,1,
Delibird,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,Give Gift Box (from behind Julia's gym) to the Old Man in the building to the right of where Skitty is,X,,,,,Y,N,Y,Ice,Flying,,Y,-,Y
Skitty,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,Give Oran Berry to Skitty. Unique OT,X,,,,,Y,N,Y,Normal,,,Y,1,
Dwebble,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,monorock password. Replaces Kricketot.,,,,,,Y,N,Y,Bug,Rock,,Y,1,
Gulpin,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,Pokesnax,X,,,,,Y,N,Y,Poison,,,Y,1,
Whismur,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,"Pokesnax, Missable",X,,,,,Y,N,Y,Normal,,,Y,2,
Swinub,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,"Pokesnax, MonoIce Password",O,,,,,Y,N,Y,Ice,Ground,,Y,2,
Aron,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,"Pokesnax, MonoRock password",O,,,,,Y,N,Y,Steel,Rock,Steel,Y,2,
Kricketot,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,"Possibly only Pre-Julia, Unique OT",X,,,,,Y,N,Y,Bug,,,Y,1,
Blitzle,Event,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,Thunderstorm,X,,,,,Y,N,Y,Electric,,,Y,1,
Burmy,Headbutt,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,,X,,,,,Y,N,Y,Bug,,Bug Grass Bug Ground Bug Steel Bug Flying,Y,1,
Swablu,Headbutt,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,,X,,,,,Y,N,Y,Normal,Flying,Dragon Flying Dragon Fairy,Y,1,
Caterpie,Land,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,,X,,,,,Y,N,Y,Bug,,Bug Flying,Y,2,
Sunkern,Land,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,,o,,,,,Y,N,Y,Grass,,,Y,1,
Wurmple,Land,Lower Peridot Ward,00004 Lower Peridot Ward,Any,001 - Julia,,X,Pecha Berry,Bright Powder,,,Y,N,Y,Bug,,Bug Flying Bug Poison,Y,2,
Ledyba,Land,Lower Peridot Ward,00004 Lower Peridot Ward,Morning,001 - Julia,,X,,,,,Y,N,Y,Bug,Flying,,Y,1,
